Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minutes
Monday,18-30,Male,Elementary school,2-5yr,Public (13?45 seats),Owner,Unknown,Office areas,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,22,45
Monday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,Above 10yr,Residential areas,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,22,45
Tuesday,18-30,Male,Junior high school,Below 1yr,Long lorry,Owner,5-10yrs,Residential areas,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Moving Backward,Serious Injury,8,20
Tuesday,Under 18,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Unknown,Other,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,8,20
Thursday,18-30,Male,Junior high school,2-5yr,Lorry (11?40Q),Owner,5-10yrs, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Serious Injury,15,10
Thursday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),Owner,Unknown,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Other,2,1,Getting off,Passenger,Female,31-50,3,Not a Pedestrian,Overloading,Serious Injury,12,11
Thursday,31-50,Male,Junior high school,Above 10yr,Public (12 seats),Owner,Unknown, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Serious Injury,12,11
Wednesday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Residential areas,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,na,na,na,na,Not a Pedestrian,Improper parking,Slight Injury,18,36
Wednesday,18-30,Male,Junior high school,2-5yr,Taxi,Owner,Above 10yr,Residential areas,other,Tangent road with rolling terrain,Crossing,Dry,Daylight,Normal,Rollover,2,3,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Other,Slight Injury,18,36
Wednesday,18-30,Unknown,Junior high school,5-10yr,Automobile,Owner,2-5yrs,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Pedestrian,Male,Under 18,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury,18,36
Friday,18-30,Male,Above high school,2-5yr,Automobile,Owner,2-5yrs,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,14,35
Tuesday,Over 51,Unknown,Junior high school,5-10yr,Automobile,Owner,Unknown,Unknown,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,12,25
Tuesday,18-30,Male,Junior high school,1-2yr,Lorry (41?100Q),Owner,Unknown, Industrial areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Overspeed,Slight Injury,12,25
Monday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,15,30
Thursday,18-30,Male,Junior high school,Above 10yr,Automobile,Governmental,Below 1yr,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,18,10
Thursday,18-30,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,15,25
Thursday,31-50,Unknown,Junior high school,2-5yr,Automobile,Governmental,Unknown,Residential areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,15,25
Saturday,Over 51,Male,Junior high school,Below 1yr,Automobile,Owner,1-2yr,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,13,57
Saturday,18-30,Male,High school,5-10yr,Automobile,Owner,2-5yrs,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3,Unknown or other,No distancing,Slight Injury,13,57
Friday,18-30,Male,Above high school,1-2yr,Taxi,Owner,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,20,30
Friday,Over 51,Male,Junior high school,Below 1yr,Automobile,Owner,2-5yrs,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,2,Not a Pedestrian,Other,Slight Injury,20,30
Friday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Residential areas,other,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,20,30
Sunday,Over 51,Male,High school,Below 1yr,Automobile,Owner,Unknown, Outside rural areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,16,30
Sunday,31-50,Male,High school,Below 1yr,Pick up upto 10Q,Owner,Above 10yr,Residential areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,16,30
Sunday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,5-10yrs, Church areas,other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,21,50
Sunday,18-30,Male,High school,2-5yr,Automobile,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,21,50
Wednesday,18-30,Male,Junior high school,Above 10yr,Public (12 seats),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,9,12
Wednesday,18-30,Male,Junior high school,Above 10yr,Public (13?45 seats),Governmental,Unknown,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Changing lane to the right,Slight Injury,9,12
Friday,31-50,Male,Junior high school,5-10yr,Lorry (11?40Q),Owner,2-5yrs,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,14,40
Friday,31-50,Male,Junior high school,1-2yr,Stationwagen,Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving at high speed,Slight Injury,10,36
Friday,31-50,Male,Unknown,Below 1yr,Ridden horse,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,10,36
Monday,18-30,Male,Junior high school,Below 1yr,Stationwagen,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,18,19
Monday,18-30,Male,High school,2-5yr,Automobile,Owner,Below 1yr,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Changing lane to the left,Slight Injury,18,19
Tuesday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,19,12
Tuesday,31-50,Male,Junior high school,5-10yr,Other,Governmental,5-10yrs,Other,Undivided Two way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,19,12
Saturday,Over 51,Male,Elementary school,2-5yr,Taxi,Owner,2-5yrs,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Other,Slight Injury,11,38
Saturday,31-50,Male,Elementary school,5-10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,11,38
Saturday,31-50,Male,Junior high school,Above 10yr,Stationwagen,Owner,2-5yrs, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,11,38
Saturday,18-30,Unknown,Junior high school,5-10yr,Automobile,Owner,5-10yrs,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,11,38
Thursday,18-30,Male,High school,5-10yr,Public (12 seats),Organization,2-5yrs, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,13,30
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,13,30
Tuesday,18-30,Unknown,Junior high school,Above 10yr,Automobile,Governmental,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,12,39
Tuesday,Over 51,Male,Junior high school,1-2yr,Lorry (41?100Q),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,12,39
Friday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,Unknown, Industrial areas,Unknown,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,12,30
Friday,31-50,Male,Junior high school,1-2yr,Public (> 45 seats),Owner,1-2yr, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,12,30
Sunday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Other,Slight Injury,16,55
Sunday,31-50,Male,Elementary school,5-10yr,Public (12 seats),Organization,Above 10yr, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,16,55
Monday,Unknown,Female,Junior high school,5-10yr,Public (12 seats),Owner,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,Driving at high speed,Slight Injury,18,25
Monday,31-50,Male,Junior high school,Above 10yr,Automobile,Owner,2-5yrs, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,Unknown,Slight Injury,18,25
Thursday,31-50,Unknown,Junior high school,2-5yr,Automobile,Organization,5-10yrs, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,13,1
Thursday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Above 10yr,Office areas,other,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,13,1
Wednesday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,13,45
Wednesday,31-50,Male,Elementary school,5-10yr,Public (12 seats),Owner,1-2yr,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,13,45
Monday,18-30,Male,Elementary school,5-10yr,Lorry (11?40Q),Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,18,45
Monday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,18,45
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,1-2yr,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,11,2
Thursday,31-50,Male,Elementary school,Above 10yr,Automobile,Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,11,2
Thursday,31-50,Male,Junior high school,Below 1yr,Bajaj,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,11,2
Thursday,31-50,Male,Junior high school,5-10yr,Public (12 seats),Owner,2-5yrs,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,11,2
Tuesday,Over 51,Male,Elementary school,1-2yr,Lorry (11?40Q),Owner,5-10yrs,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Serious Injury,15,55
Wednesday,Over 51,Unknown,Junior high school,5-10yr,Automobile,Owner,Unknown,Office areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,15,0
Sunday,31-50,Male,Junior high school,Above 10yr,Automobile,Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,20,0
Sunday,Under 18,Male,High school,2-5yr,Automobile,Owner,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,20,0
Wednesday,31-50,Male,Junior high school,1-2yr,Lorry (11?40Q),Owner,Unknown, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the left,Serious Injury,18,48
Wednesday,31-50,Male,Junior high school,1-2yr,Lorry (41?100Q),Owner,1-2yr,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Overturning,Serious Injury,18,48
Sunday,Over 51,Male,Above high school,2-5yr,Pick up upto 10Q,Owner,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,15,55
Sunday,Over 51,Male,Junior high school,5-10yr,Lorry (11?40Q),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,Pedestrian,Female,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,15,55
Wednesday,Over 51,Unknown,Elementary school,2-5yr,Stationwagen,Owner,Unknown,Office areas,other,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,23,25
Wednesday,Over 51,Male,Junior high school,1-2yr,Other,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,23,25
Wednesday,31-50,Male,Junior high school,5-10yr,Other,Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Reversing,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,23,25
Monday,18-30,Unknown,Junior high school,Below 1yr,Lorry (11?40Q),Owner,5-10yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the right,Serious Injury,7,40
Monday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,2-5yrs,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,7,40
Sunday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,2-5yrs,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Fatal injury,15,17
Sunday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Fatal injury,15,17
